,player_id,mode,signal_type,frame_number,num_code,code
0,5ee6d2494fd04045b988a12d,1,up,165,[1],[1]
1,5ee6d2494fd04045b988a12d,1,up,480,[1],[1]
2,5ee6d2494fd04045b988a12d,1,up,708,[],[3]
3,5ee6d2494fd04045b988a12d,1,up,1145,[1],[1]
4,5ee6d2494fd04045b988a12d,1,up,1621,[1],[1]
5,5ee6d2494fd04045b988a12d,1,up,2530,[],[1]
6,5ee6d2494fd04045b988a12d,1,up,2922,[],"[1,8]"
7,5ee6d2494fd04045b988a12d,1,up,3115,"[1, 7, 9]","[1,7,9]"
8,5ee6d2494fd04045b988a12d,2,up,150,[1],[1]
9,5ee6d2494fd04045b988a12d,2,up,376,[1],[1]
10,5ee6d2494fd04045b988a12d,2,up,914,[1],[1]
11,5ee6d2494fd04045b988a12d,2,up,2342,"[1, 8, 9]","[1,2,8,9]"
12,5ef33c05f4c5240413ef9ac2,1,up,219,[1],[1]
13,5ef33c05f4c5240413ef9ac2,1,down,590,[5],[5]
14,5ef33c05f4c5240413ef9ac2,1,up,893,[1],[1]
15,5ef33c05f4c5240413ef9ac2,1,up,1474,[1],[1]
16,5ef33c05f4c5240413ef9ac2,1,down,1705,[14],"[2,14]"
17,5ef33c05f4c5240413ef9ac2,1,down,1805,[14],"[2,14]"
18,5ef33c05f4c5240413ef9ac2,1,down,2050,"[12, 13, 14]",[14]
19,5ef33c05f4c5240413ef9ac2,1,down,2688,"[12, 13]",[15]
20,5ef33c05f4c5240413ef9ac2,1,up,2830,"[7, 9]","[1,7,9]"
21,5ef33c05f4c5240413ef9ac2,2,up,213,[1],[1]
22,5ef33c05f4c5240413ef9ac2,2,up,570,[1],[1]
23,5ef33c05f4c5240413ef9ac2,2,up,857,[1],[1]
24,5ef33c05f4c5240413ef9ac2,2,up,1291,[1],[1]
25,5ef33c05f4c5240413ef9ac2,2,up,1636,[1],[1]
26,5ef33c05f4c5240413ef9ac2,2,up,1977,[1],"[1,7]"
27,6081c511ded5945d9b70801e,1,up,107,[],[1]
28,6081c511ded5945d9b70801e,1,up,537,[],[11]
29,6081c511ded5945d9b70801e,1,down,842,[5],[5]
30,6081c511ded5945d9b70801e,1,down,1362,[5],"[5,2,14]"
31,6081c511ded5945d9b70801e,1,down,2187,[5],"[5,12,13]"
32,6081c511ded5945d9b70801e,2,down,386,[5],[5]
33,6081c511ded5945d9b70801e,2,down,644,[5],[5]
34,6081c511ded5945d9b70801e,2,up,917,[1],"[1,6]"
35,6081c511ded5945d9b70801e,2,up,1118,[],[11]
36,6081c511ded5945d9b70801e,2,down,1426,[5],[5]
37,6081c511ded5945d9b70801e,2,up,1823,[1],"[1,6]"
38,6081c511ded5945d9b70801e,2,up,2451,[],[1]
