player_id,mode,signal_type,frame_number,code,notes,num_code,,,,[code]
5ef33c05f4c5240413ef9ac2,1,up,219,[1],,[1],,,,
5ef33c05f4c5240413ef9ac2,1,down,590,[5],,[5],,,,
5ef33c05f4c5240413ef9ac2,1,up,893,[1],,[1],,,,
5ef33c05f4c5240413ef9ac2,1,up,1474,[1],,[1],,,,
5ef33c05f4c5240413ef9ac2,1,down,1705,"[2,14]",,"[2, 14]",,,,
5ef33c05f4c5240413ef9ac2,1,down,1805,"[2,14]",,[14],,,,
5ef33c05f4c5240413ef9ac2,1,down,2050,[14],,"[12, 14]",,,,
5ef33c05f4c5240413ef9ac2,1,down,2688,[15],,[12],,,,
5ef33c05f4c5240413ef9ac2,1,up,2830,"[1,7,9]",,"[1, 7, 9]",,,,
5ef33c05f4c5240413ef9ac2,2,up,213,[1],,[1],,,,
5ef33c05f4c5240413ef9ac2,2,up,570,[1],,[1],,,,
5ef33c05f4c5240413ef9ac2,2,up,857,[1],,[1],,,,
5ef33c05f4c5240413ef9ac2,2,up,1291,[1],,[1],,,,
5ef33c05f4c5240413ef9ac2,2,up,1636,[1],,[1],,,,
5ef33c05f4c5240413ef9ac2,2,up,1977,"[1,7]",,[1],,,,
6081c511ded5945d9b70801e,1,up,107,[1],,[1],,,,
6081c511ded5945d9b70801e,1,up,537,[11],11? (agent was inactive),[],user mentioned something about pressing down buttons accdientally and AI agent being inactive as a result,,,
6081c511ded5945d9b70801e,1,down,842,[5],,[5],,,,
6081c511ded5945d9b70801e,1,down,1362,"[5,2,14]",,[5],,,,
6081c511ded5945d9b70801e,1,down,2187,"[5,12,13]",,[12],,,,
6081c511ded5945d9b70801e,2,down,386,[5],,[5],,,,
6081c511ded5945d9b70801e,2,down,644,[5],,[5],,,,
6081c511ded5945d9b70801e,2,up,917,"[1,6]",,[1],,,,
6081c511ded5945d9b70801e,2,up,1118,[11],11?,[],,,,
6081c511ded5945d9b70801e,2,down,1426,[5],,[5],,,,
6081c511ded5945d9b70801e,2,up,1823,"[1,6]",,[1],,,,
6081c511ded5945d9b70801e,2,up,2451,[1],mistake?,[],,,,
6081c511ded5945d9b70801e,2,down,2703,"[5,12,4]",,"[4, 12]",,,,
60e9e9618953d7a3430dd8f6,1,up,76,[1],,[1],,,,
60e9e9618953d7a3430dd8f6,1,up,904,"[2,1]",right to left vs staying on left?,[1],,,,
60e9e9618953d7a3430dd8f6,1,up,1278,[1],Should there be an efficient category? (kils lots of enemies),[1],,,,
60e9e9618953d7a3430dd8f6,1,down,1775,"[2,14]",,"[2, 14]",,,,
60e9e9618953d7a3430dd8f6,1,up,2533,"[3,7,9]",based on my inference or completely survey response?,[1],,,,
60e9e9618953d7a3430dd8f6,2,down,1113,[11],seemed fine,[],,,,
60e9e9618953d7a3430dd8f6,2,up,1286,[1],,[1],,,,
60e9e9618953d7a3430dd8f6,2,up,1565,[1],,[1],,,,
60e9e9618953d7a3430dd8f6,2,up,1909,"[1,7]",,"[1, 7]",,,,
60edb7015a9231789057bdea,1,up,56,[1],,[1],,,,
60edb7015a9231789057bdea,1,down,803,"[2,5]",,[5],,,,
60edb7015a9231789057bdea,1,up,1471,"[3,1]",,[1],,,,
60edb7015a9231789057bdea,1,up,2838,[1],,[1],,,,
60edb7015a9231789057bdea,2,up,126,[1],,[1],,,,
60edb7015a9231789057bdea,2,up,2263,"[1,7]",,"[1, 7]",,,,
