AU01_r_max,AU02_r_max,AU04_r_max,AU05_r_max,AU06_r_max,AU07_r_max,AU09_r_max,AU10_r_max,AU12_r_max,AU14_r_max,AU15_r_max,AU17_r_max,AU20_r_max,AU23_r_max,AU25_r_max,AU26_r_max,AU45_r_max,AU01_r_min,AU02_r_min,AU04_r_min,AU05_r_min,AU06_r_min,AU07_r_min,AU09_r_min,AU10_r_min,AU12_r_min,AU14_r_min,AU15_r_min,AU17_r_min,AU20_r_min,AU23_r_min,AU25_r_min,AU26_r_min,AU45_r_min,AU01_r_mean,AU02_r_mean,AU04_r_mean,AU05_r_mean,AU06_r_mean,AU07_r_mean,AU09_r_mean,AU10_r_mean,AU12_r_mean,AU14_r_mean,AU15_r_mean,AU17_r_mean,AU20_r_mean,AU23_r_mean,AU25_r_mean,AU26_r_mean,AU45_r_mean,AU01_r_sd,AU02_r_sd,AU04_r_sd,AU05_r_sd,AU06_r_sd,AU07_r_sd,AU09_r_sd,AU10_r_sd,AU12_r_sd,AU14_r_sd,AU15_r_sd,AU17_r_sd,AU20_r_sd,AU23_r_sd,AU25_r_sd,AU26_r_sd,AU45_r_sd,type
1.96,1.27,0.7,0.69,0.67,0.96,2.19,0.54,0.27,0.73,0.0,0.94,0.0,1.62,0.02,0.54,0.0,1.29,0.73,0.14,0.13,0.31,0.0,1.31,0.03,0.0,0.01,0.0,0.26,0.0,1.09,0.0,0.0,0.0,1.5717391304347825,1.04,0.48695652173913034,0.3900000000000001,0.5439130434782609,0.33956521739130435,1.6695652173913047,0.19304347826086954,0.06086956521739131,0.38043478260869573,0.0,0.6460869565217391,0.0,1.3243478260869566,0.0008695652173913044,0.19086956521739132,0.0,0.17613662501574387,0.1392185985485351,0.1454908551518147,0.1579700777189954,0.08891973553485713,0.3564277086064586,0.22748582894664335,0.1357951258533737,0.08010862191017785,0.1726920080497901,0.0,0.13667277212494156,0.0,0.1270227641357865,0.004170288281141495,0.18359820368199933,0.0,up
1.75,1.47,0.81,1.44,0.74,1.51,2.36,0.61,0.41,0.6,0.0,0.96,0.0,1.66,0.6,0.0,0.0,0.21,0.0,0.18,0.41,0.22,0.0,1.08,0.0,0.0,0.0,0.0,0.45,0.0,0.89,0.0,0.0,0.0,1.1143478260869566,0.9091304347826087,0.46391304347826084,0.8878260869565217,0.5604347826086958,0.47217391304347833,1.7173913043478262,0.2091304347826087,0.12956521739130436,0.3165217391304348,0.0,0.6730434782608694,0.0,1.3752173913043477,0.02608695652173913,0.0,0.0,0.42302832579731287,0.34118660641246884,0.1476401993310021,0.2109277455291079,0.11694902778054304,0.4209508341161507,0.3263324767403546,0.1947705653391437,0.12899888163255754,0.222109896952186,0.0,0.14483328292176917,0.0,0.16194470339137904,0.12510864843424485,0.0,0.0,up
1.25,1.19,0.77,1.51,1.68,1.49,2.36,0.62,0.28,1.27,0.0,1.72,1.27,1.52,0.0,0.03,0.88,0.0,0.0,0.05,0.0,0.26,0.0,1.41,0.0,0.0,0.0,0.0,0.59,0.0,0.03,0.0,0.0,0.0,0.8469565217391305,0.8417391304347828,0.3456521739130435,0.7882608695652173,0.5369565217391303,0.6926086956521739,1.7565217391304346,0.22652173913043477,0.12434782608695653,0.1973913043478261,0.0,0.7534782608695652,0.05521739130434783,1.3347826086956522,0.0,0.0013043478260869564,0.03826086956521739,0.32626585343033443,0.2667592066045713,0.1831002231009147,0.3511623837526535,0.27366925596434655,0.36838983046994644,0.26439654611366986,0.16302840510035427,0.11280820758971727,0.30962172509082975,0.0,0.22798741384024956,0.26481330585248497,0.297212344739603,0.0,0.006255432421712242,0.1834926843702258,up
1.2,1.75,0.56,1.19,0.61,0.86,2.65,0.23,0.29,0.54,0.0,0.86,0.0,1.64,0.0,0.0,0.0,0.11,0.59,0.0,0.28,0.32,0.02,1.87,0.0,0.0,0.0,0.0,0.4,0.0,1.08,0.0,0.0,0.0,0.6217391304347826,0.9508695652173912,0.2852173913043479,0.6565217391304349,0.468695652173913,0.3317391304347826,2.191739130434782,0.06999999999999999,0.04782608695652174,0.04130434782608696,0.0,0.6165217391304348,0.0,1.2608695652173914,0.0,0.0,0.0,0.28211300401713696,0.24235423066769363,0.14221844801755412,0.22420787220897107,0.08069608235540235,0.22680893388515053,0.1863928445249939,0.09,0.09967932774375356,0.12520181337003966,0.0,0.11292027338920362,0.0,0.12802389846069795,0.0,0.0,0.0,up
1.42,1.3,0.61,1.17,0.52,0.91,2.07,0.82,0.13,0.87,0.0,1.04,0.0,1.58,1.2,0.02,0.0,0.21,0.46,0.15,0.0,0.05,0.0,1.34,0.0,0.0,0.09,0.0,0.54,0.0,0.69,0.0,0.0,0.0,0.7465217391304348,0.851304347826087,0.3373913043478261,0.6495652173913044,0.2782608695652174,0.3960869565217392,1.6021739130434778,0.20956521739130432,0.012173913043478262,0.3769565217391304,0.0,0.7860869565217392,0.0,1.2899999999999998,0.13,0.0008695652173913044,0.0,0.2871586304664782,0.21654947676992448,0.13977961196450867,0.29105573132164547,0.10794157400746705,0.33056066876025236,0.1691141766472669,0.24689854855918536,0.03437183330724717,0.16723513067775658,0.0,0.13911209118205173,0.0,0.23971574075065732,0.32776099939936837,0.004170288281141495,0.0,up
1.69,1.04,1.27,0.59,0.0,0.0,0.87,0.0,0.0,1.11,0.0,1.16,0.0,1.17,0.27,0.52,0.0,1.03,0.43,0.59,0.0,0.0,0.0,0.28,0.0,0.0,0.64,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.4026086956521737,0.8152173913043477,0.8626086956521739,0.2008695652173913,0.0,0.0,0.5226086956521739,0.0,0.0,0.9191304347826087,0.0,0.7760869565217392,0.0,0.653913043478261,0.03217391304347826,0.1752173913043478,0.0,0.1909121023666114,0.17989566585353128,0.1471306590416815,0.18085436238934607,0.0,0.0,0.13811119997057536,0.0,0.0,0.10255433342549611,0.0,0.15293311462664685,0.0,0.34460437303238545,0.07651241858436093,0.18710399551677115,0.0,up
1.57,0.87,1.25,1.31,0.43,0.09,1.36,1.5,0.46,1.39,0.17,1.28,0.09,1.0,0.44,1.03,0.0,0.85,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.47,0.0,0.0,0.0,0.0,0.0,1.226086956521739,0.5365217391304349,0.8969565217391302,0.1930434782608696,0.04956521739130435,0.003913043478260869,0.722608695652174,0.24521739130434786,0.034347826086956516,0.8956521739130435,0.007391304347826088,0.7891304347826089,0.003913043478260869,0.4769565217391304,0.06434782608695652,0.38260869565217387,0.0,0.17595813371974137,0.19775119113886,0.25823588199742525,0.32586158219555145,0.11202590044959027,0.01876629726513673,0.4392164240937216,0.34490933677255736,0.10112216225736446,0.24552033959358685,0.03544745038970271,0.18821923975364138,0.018766297265136726,0.3681456577177608,0.13083042761725514,0.3954998838214327,0.0,up
2.03,1.1,0.72,0.24,0.08,0.02,1.27,0.23,0.0,1.58,0.0,1.42,0.0,1.13,0.74,0.45,0.0,1.18,0.16,0.02,0.0,0.0,0.0,0.49,0.0,0.0,0.89,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.6378260869565215,0.8782608695652173,0.40217391304347827,0.059565217391304354,0.0034782608695652175,0.0008695652173913044,0.8530434782608696,0.043478260869565216,0.0,1.2639130434782608,0.0,0.9647826086956519,0.0,0.7152173913043478,0.0608695652173913,0.12478260869565218,0.0,0.26139410374060795,0.1973149806300263,0.18364878837159732,0.07991349077536995,0.01668115312456598,0.004170288281141495,0.20448237938331235,0.06772999172195525,0.0,0.18879375785219324,0.0,0.22866946302503552,0.0,0.277863105032568,0.20203314407380737,0.14317406968180033,0.0,up
1.96,2.34,1.33,0.96,1.39,1.61,2.19,1.14,0.82,1.88,0.0,1.82,1.23,1.55,0.03,0.42,0.38,0.0,0.0,0.0,0.0,0.42,0.0,1.59,0.26,0.0,0.0,0.0,0.96,0.0,0.16,0.0,0.0,0.0,1.22,1.478695652173913,0.9665217391304346,0.21043478260869564,0.6621739130434783,0.31478260869565217,1.8073913043478258,0.6269565217391303,0.41826086956521735,0.4730434782608695,0.0,1.3843478260869566,0.05347826086956522,0.934782608695652,0.0013043478260869564,0.12434782608695653,0.01652173913043478,0.5269983612187733,0.4377037639548433,0.2721398152630067,0.2523251556815596,0.22904855622055198,0.43233898279871874,0.17197297333392897,0.19592286939249368,0.19165907643789706,0.37670141036259736,0.0,0.24539071048129313,0.256472729290202,0.42216831590791104,0.006255432421712241,0.15535373380995918,0.07923547734168841,up
1.87,1.32,0.96,0.64,0.55,1.19,2.13,0.33,0.05,1.31,0.0,0.82,0.0,1.32,0.0,0.55,0.0,1.21,0.5,0.37,0.0,0.0,0.21,1.45,0.0,0.0,0.72,0.0,0.48,0.0,0.56,0.0,0.0,0.0,1.5304347826086955,1.0056521739130435,0.6034782608695654,0.10869565217391307,0.381304347826087,0.6947826086956522,1.8008695652173916,0.08304347826086957,0.004347826086956522,1.0330434782608695,0.0,0.6265217391304347,0.0,1.0669565217391304,0.0,0.19130434782608696,0.0,0.20755017489468477,0.22287024531116598,0.12939048354960878,0.17157835071704886,0.13049919358253406,0.2698967742947358,0.1614399140541222,0.09846248859377386,0.01308228745515434,0.16198862986498033,0.0,0.09256981128032134,0.0,0.2026738262378673,0.0,0.14722599658737667,0.0,up
