AU01_r_max,AU02_r_max,AU04_r_max,AU05_r_max,AU06_r_max,AU07_r_max,AU09_r_max,AU10_r_max,AU12_r_max,AU14_r_max,AU15_r_max,AU17_r_max,AU20_r_max,AU23_r_max,AU25_r_max,AU26_r_max,AU45_r_max,AU01_r_min,AU02_r_min,AU04_r_min,AU05_r_min,AU06_r_min,AU07_r_min,AU09_r_min,AU10_r_min,AU12_r_min,AU14_r_min,AU15_r_min,AU17_r_min,AU20_r_min,AU23_r_min,AU25_r_min,AU26_r_min,AU45_r_min,AU01_r_mean,AU02_r_mean,AU04_r_mean,AU05_r_mean,AU06_r_mean,AU07_r_mean,AU09_r_mean,AU10_r_mean,AU12_r_mean,AU14_r_mean,AU15_r_mean,AU17_r_mean,AU20_r_mean,AU23_r_mean,AU25_r_mean,AU26_r_mean,AU45_r_mean,AU01_r_sd,AU02_r_sd,AU04_r_sd,AU05_r_sd,AU06_r_sd,AU07_r_sd,AU09_r_sd,AU10_r_sd,AU12_r_sd,AU14_r_sd,AU15_r_sd,AU17_r_sd,AU20_r_sd,AU23_r_sd,AU25_r_sd,AU26_r_sd,AU45_r_sd,type
1.83,1.21,0.7,0.74,0.84,0.96,2.66,0.82,0.19,0.7,0.0,0.94,0.28,1.58,1.69,0.54,0.0,0.8,0.18,0.25,0.13,0.43,0.0,1.34,0.0,0.0,0.0,0.0,0.26,0.0,0.23,0.0,0.0,0.0,1.5064516129032262,0.9880645161290323,0.4890322580645161,0.42677419354838714,0.5935483870967743,0.40064516129032257,1.757741935483871,0.23322580645161295,0.04290322580645162,0.37354838709677424,0.0,0.6190322580645161,0.00903225806451613,1.319032258064516,0.055161290322580644,0.21129032258064512,0.0,0.22942752504290287,0.21644736627085903,0.11992650078859904,0.17369296851579216,0.08735171767426879,0.30124116013443414,0.27582252358378756,0.16013300923033105,0.054172166800987194,0.1888835335525885,0.0,0.12251135562903756,0.05028948456749697,0.22956995794615168,0.30343446264107776,0.15545078396894352,0.0,up
1.75,1.53,0.81,1.13,1.03,0.77,2.36,0.61,0.47,0.87,0.0,1.09,0.0,1.66,0.6,0.49,0.0,0.21,0.0,0.18,0.18,0.22,0.0,1.08,0.0,0.0,0.0,0.0,0.43,0.0,0.89,0.0,0.0,0.0,1.2156666666666667,1.0793333333333335,0.4706666666666667,0.7183333333333334,0.6153333333333334,0.30366666666666664,1.77,0.23566666666666666,0.18999999999999997,0.26033333333333336,0.0,0.7333333333333333,0.0,1.3066666666666664,0.024000000000000004,0.029666666666666668,0.0,0.35687999850556673,0.3351369594795468,0.15576138544389717,0.268162114289528,0.1686198199446344,0.23156861399703058,0.32160159546696365,0.1860419554708085,0.15348817768693188,0.252470323736902,0.0,0.1846400661367638,0.0,0.18019784784457357,0.10956339685786712,0.09510369416420249,0.0,up
1.22,1.44,0.87,1.51,1.68,1.04,2.52,0.62,0.31,1.27,0.0,1.72,1.27,1.5,0.0,0.03,0.88,0.0,0.0,0.05,0.0,0.26,0.0,1.41,0.0,0.0,0.0,0.0,0.09,0.0,0.03,0.0,0.0,0.0,0.7986206896551724,0.8734482758620689,0.4131034482758621,0.7244827586206896,0.5348275862068965,0.6365517241379309,1.9127586206896552,0.2258620689655172,0.08344827586206896,0.19758620689655174,0.0,0.7406896551724137,0.04379310344827586,1.2672413793103448,0.0,0.0010344827586206897,0.030344827586206897,0.322177015872719,0.2794161752919439,0.21389422366266966,0.3477641463374747,0.24871987527071457,0.2588611853880234,0.36856765759708354,0.17741229707297448,0.10698050096259083,0.3015395635308644,0.0,0.2578195802505914,0.23583307948485588,0.2813093943853602,0.0,0.005570860145311557,0.16341189759580566,up
1.2,1.39,0.65,1.19,0.78,0.63,2.76,0.36,0.29,0.22,0.0,0.92,0.38,1.51,0.71,0.0,0.0,0.0,0.01,0.0,0.08,0.34,0.0,1.88,0.0,0.0,0.0,0.0,0.4,0.0,0.59,0.0,0.0,0.0,0.5403333333333333,0.8196666666666665,0.263,0.6166666666666666,0.5173333333333333,0.2606666666666667,2.2969999999999993,0.08433333333333333,0.03133333333333334,0.013666666666666666,0.0,0.618,0.012666666666666666,1.1483333333333334,0.074,0.0,0.0,0.36630949165720633,0.3376846451057997,0.17090327976514308,0.24581087955122555,0.10530524869302028,0.17439418950565222,0.23356531981587,0.11524137587101117,0.08054698065076073,0.04483558726120883,0.0,0.12863742148728166,0.06937819061732103,0.21148218044005068,0.19517631286467188,0.0,0.0,up
1.42,1.3,0.62,1.12,0.69,1.18,2.24,0.57,0.25,0.87,0.0,1.04,0.0,1.58,0.87,0.02,0.0,0.1,0.05,0.0,0.0,0.05,0.0,1.34,0.0,0.0,0.0,0.0,0.53,0.0,0.67,0.0,0.0,0.0,0.7949999999999999,0.8323333333333333,0.30533333333333335,0.5923333333333335,0.3363333333333333,0.5586666666666666,1.6823333333333332,0.15766666666666665,0.034333333333333334,0.21933333333333332,0.0,0.7603333333333332,0.0,1.3243333333333334,0.05533333333333334,0.0006666666666666666,0.0,0.31178850037407935,0.2658711553823916,0.1598648854789425,0.28286323408213077,0.16089155339551853,0.3605238844575596,0.20009796451313255,0.17924522469151763,0.0660033088686408,0.2142337320638909,0.0,0.16443179769118266,0.0,0.2184693355478353,0.18356119590937015,0.0036514837167011083,0.0,up
1.69,1.2,1.27,0.73,0.0,0.0,0.9,0.15,0.0,1.18,0.0,1.16,0.0,1.4,0.48,0.79,0.0,0.93,0.46,0.63,0.0,0.0,0.0,0.3,0.0,0.0,0.61,0.0,0.42,0.0,0.0,0.0,0.0,0.0,1.4153333333333333,0.9070000000000001,0.8493333333333333,0.21,0.0,0.0,0.6213333333333334,0.005,0.0,0.8923333333333332,0.0,0.8316666666666667,0.0,0.8103333333333332,0.025,0.317,0.0,0.18244948915235146,0.15532280068873694,0.12955982064836608,0.21959209834411714,0.0,0.0,0.13166659391821067,0.027386127875258303,0.0,0.14924368717275632,0.0,0.15391630805427173,0.0,0.3386126190016055,0.09905588809110359,0.24124890566126644,0.0,up
1.57,1.02,1.23,1.39,0.43,0.09,1.26,1.5,0.46,1.23,0.17,1.28,0.09,1.21,0.51,0.93,0.0,0.85,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.36,0.0,0.0,0.0,0.0,0.0,1.1248275862068966,0.5465517241379311,0.9027586206896553,0.3220689655172414,0.028620689655172418,0.003103448275862069,0.5462068965517242,0.1675862068965517,0.019310344827586208,0.8148275862068965,0.0058620689655172415,0.7296551724137931,0.003103448275862069,0.3665517241379311,0.0903448275862069,0.22068965517241382,0.0,0.16781411250154085,0.17149085485964727,0.22113177312124066,0.40237135752884534,0.09818801708715473,0.016712580435934668,0.3522115211985897,0.35372159323010144,0.08676450206008209,0.22799781780997022,0.03156820749009882,0.18311750245247857,0.016712580435934668,0.3156770033489132,0.15753645289312496,0.29445992978044644,0.0,up
2.03,1.1,0.62,0.24,0.0,0.0,1.09,0.23,0.0,1.45,0.0,1.42,0.0,1.13,0.0,0.46,0.0,1.4,0.75,0.13,0.0,0.0,0.0,0.58,0.0,0.0,0.89,0.0,0.77,0.0,0.49,0.0,0.0,0.0,1.6941176470588233,0.9358823529411765,0.45823529411764713,0.06999999999999999,0.0,0.0,0.8794117647058823,0.04882352941176471,0.0,1.2776470588235294,0.0,0.998235294117647,0.0,0.7888235294117647,0.0,0.19647058823529412,0.0,0.21479812684033736,0.1009367886061254,0.13394193210668043,0.08746427842267951,0.0,0.0,0.1411324992797236,0.06945163361480208,0.0,0.14809327346999535,0.0,0.17429268824730024,0.0,0.19364537023064793,0.0,0.1526409666697717,0.0,up
2.31,2.34,1.33,0.96,1.39,1.61,2.58,1.14,0.82,1.88,0.0,1.77,1.23,1.55,0.51,0.76,0.38,0.0,0.0,0.0,0.0,0.04,0.0,1.26,0.0,0.0,0.0,0.0,0.87,0.0,0.58,0.0,0.0,0.0,1.535,1.2663333333333333,1.0016666666666667,0.20666666666666667,0.5416666666666666,0.5996666666666666,1.7496666666666663,0.4126666666666666,0.24933333333333332,0.5830000000000001,0.0,1.2073333333333334,0.041,1.2180000000000002,0.017,0.2513333333333333,0.012666666666666666,0.49497300518520093,0.4187459383916938,0.2581643867281323,0.2393285626905828,0.2712434119121553,0.44328307553692065,0.30220435348347946,0.2817302859526971,0.21927676313411487,0.41712604561575206,0.0,0.23026122097534676,0.22456624857711815,0.2443485356955341,0.09311283477587823,0.25345520359599066,0.06937819061732102,up
1.87,1.32,0.9,0.86,0.7,1.07,2.23,0.73,0.04,1.3,0.0,0.82,0.0,1.32,1.27,0.39,0.0,0.7,0.14,0.34,0.0,0.0,0.05,1.45,0.0,0.0,0.72,0.0,0.34,0.0,0.15,0.0,0.0,0.0,1.4450000000000003,0.8266666666666667,0.6173333333333333,0.21533333333333335,0.3473333333333333,0.5223333333333333,1.8796666666666664,0.08566666666666668,0.0013333333333333333,0.9939999999999999,0.0,0.6143333333333333,0.0,0.859,0.07766666666666668,0.11499999999999999,0.0,0.32634601903184146,0.2979392825593061,0.13756336053222723,0.22852953228507858,0.15600471551965286,0.2713781346277238,0.19063384895609722,0.15891188912648144,0.0073029674334022165,0.14286719176479468,0.0,0.11190153717884534,0.0,0.27350029943878207,0.2632644315503715,0.13114219710706757,0.0,up
