AU09_r_max,AU14_r_max,AU15_r_max,AU17_r_max,AU20_r_max,AU23_r_max,AU09_r_min,AU14_r_min,AU15_r_min,AU17_r_min,AU20_r_min,AU23_r_min,AU09_r_mean,AU14_r_mean,AU15_r_mean,AU17_r_mean,AU20_r_mean,AU23_r_mean,AU09_r_sd,AU14_r_sd,AU15_r_sd,AU17_r_sd,AU20_r_sd,AU23_r_sd,type
2.19,0.73,0.0,0.94,0.0,1.62,1.31,0.01,0.0,0.26,0.0,1.09,1.6695652173913047,0.38043478260869573,0.0,0.6460869565217391,0.0,1.3243478260869566,0.22748582894664335,0.1726920080497901,0.0,0.13667277212494156,0.0,0.1270227641357865,signal
2.36,0.6,0.0,0.96,0.0,1.66,1.08,0.0,0.0,0.45,0.0,0.89,1.7173913043478262,0.3165217391304348,0.0,0.6730434782608694,0.0,1.3752173913043477,0.3263324767403546,0.222109896952186,0.0,0.14483328292176917,0.0,0.16194470339137904,signal
2.36,1.27,0.0,1.72,1.27,1.52,1.41,0.0,0.0,0.59,0.0,0.03,1.7565217391304346,0.1973913043478261,0.0,0.7534782608695652,0.05521739130434783,1.3347826086956522,0.26439654611366986,0.30962172509082975,0.0,0.22798741384024956,0.26481330585248497,0.297212344739603,signal
2.65,0.54,0.0,0.86,0.0,1.64,1.87,0.0,0.0,0.4,0.0,1.08,2.191739130434782,0.04130434782608696,0.0,0.6165217391304348,0.0,1.2608695652173914,0.1863928445249939,0.12520181337003966,0.0,0.11292027338920362,0.0,0.12802389846069795,signal
2.07,0.87,0.0,1.04,0.0,1.58,1.34,0.09,0.0,0.54,0.0,0.69,1.6021739130434778,0.3769565217391304,0.0,0.7860869565217392,0.0,1.2899999999999998,0.1691141766472669,0.16723513067775658,0.0,0.13911209118205173,0.0,0.23971574075065732,signal
0.87,1.11,0.0,1.16,0.0,1.17,0.28,0.64,0.0,0.49,0.0,0.0,0.5226086956521739,0.9191304347826087,0.0,0.7760869565217392,0.0,0.653913043478261,0.13811119997057536,0.10255433342549611,0.0,0.15293311462664685,0.0,0.34460437303238545,signal
1.36,1.39,0.17,1.28,0.09,1.0,0.0,0.29,0.0,0.47,0.0,0.0,0.722608695652174,0.8956521739130435,0.007391304347826088,0.7891304347826089,0.003913043478260869,0.4769565217391304,0.4392164240937216,0.24552033959358685,0.03544745038970271,0.18821923975364138,0.018766297265136726,0.3681456577177608,signal
1.27,1.58,0.0,1.42,0.0,1.13,0.49,0.89,0.0,0.51,0.0,0.0,0.8530434782608696,1.2639130434782608,0.0,0.9647826086956519,0.0,0.7152173913043478,0.20448237938331235,0.18879375785219324,0.0,0.22866946302503552,0.0,0.277863105032568,signal
2.19,1.88,0.0,1.82,1.23,1.55,1.59,0.0,0.0,0.96,0.0,0.16,1.8073913043478258,0.4730434782608695,0.0,1.3843478260869566,0.05347826086956522,0.934782608695652,0.17197297333392897,0.37670141036259736,0.0,0.24539071048129313,0.256472729290202,0.42216831590791104,signal
2.13,1.31,0.0,0.82,0.0,1.32,1.45,0.72,0.0,0.48,0.0,0.56,1.8008695652173916,1.0330434782608695,0.0,0.6265217391304347,0.0,1.0669565217391304,0.1614399140541222,0.16198862986498033,0.0,0.09256981128032134,0.0,0.2026738262378673,signal
