AU01_r_max,AU02_r_max,AU04_r_max,AU05_r_max,AU06_r_max,AU07_r_max,AU09_r_max,AU10_r_max,AU12_r_max,AU14_r_max,AU15_r_max,AU17_r_max,AU20_r_max,AU23_r_max,AU25_r_max,AU26_r_max,AU45_r_max,AU01_r_min,AU02_r_min,AU04_r_min,AU05_r_min,AU06_r_min,AU07_r_min,AU09_r_min,AU10_r_min,AU12_r_min,AU14_r_min,AU15_r_min,AU17_r_min,AU20_r_min,AU23_r_min,AU25_r_min,AU26_r_min,AU45_r_min,AU01_r_mean,AU02_r_mean,AU04_r_mean,AU05_r_mean,AU06_r_mean,AU07_r_mean,AU09_r_mean,AU10_r_mean,AU12_r_mean,AU14_r_mean,AU15_r_mean,AU17_r_mean,AU20_r_mean,AU23_r_mean,AU25_r_mean,AU26_r_mean,AU45_r_mean,AU01_r_sd,AU02_r_sd,AU04_r_sd,AU05_r_sd,AU06_r_sd,AU07_r_sd,AU09_r_sd,AU10_r_sd,AU12_r_sd,AU14_r_sd,AU15_r_sd,AU17_r_sd,AU20_r_sd,AU23_r_sd,AU25_r_sd,AU26_r_sd,AU45_r_sd,type
0.99,0.0,0.0,0.01,0.23,0.28,2.08,0.28,0.44,0.82,0.76,0.22,1.49,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.07,0.0,0.73,0.0,0.0,0.0,0.0,0.6722580645161289,0.0,0.0,0.0006451612903225806,0.04967741935483871,0.00903225806451613,1.9009677419354836,0.05774193548387098,0.10838709677419356,0.32806451612903237,0.46387096774193554,0.03032258064516129,1.031290322580645,0.0,0.0,0.0,0.0,0.1669472906322902,0.0,0.0,0.002497310381147075,0.06640702126370583,0.05028948456749697,0.10958573017534953,0.079486253629977,0.10354054839187554,0.25543974312074347,0.14409898031919677,0.061507932874155444,0.17480926625866397,0.0,0.0,0.0,0.0,up
1.39,0.0,0.0,0.0,0.3,0.0,1.66,0.34,0.45,0.62,0.22,0.0,1.33,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,1.064193548387097,0.0,0.0,0.0,0.12645161290322582,0.0,1.4380645161290324,0.1003225806451613,0.027741935483870966,0.055161290322580644,0.06516129032258064,0.0,1.0635483870967741,0.0,0.0,0.0,0.0,0.16824137805641803,0.0,0.0,0.0,0.0712529946550447,0.0,0.10351873759014867,0.1138561627952199,0.08712862818535803,0.1491055770864375,0.06662686984202572,0.0,0.12565955029620773,0.0,0.0,0.0,0.0,up
1.03,0.14,0.0,0.03,0.26,0.0,1.9,0.47,0.86,1.35,0.61,0.0,1.72,0.0,0.0,0.0,0.49,0.18,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.18,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.5178048780487805,0.007317073170731709,0.0,0.0007317073170731707,0.1402439024390244,0.0,1.6919512195121953,0.07487804878048782,0.41341463414634155,0.3590243902439025,0.3148780487804878,0.0,1.2778048780487803,0.0,0.0,0.0,0.10121951219512196,0.18786314427159403,0.02757030923329501,0.0,0.004685212856658181,0.07008879385743662,0.0,0.1334956836791947,0.11876703985575106,0.1899817064364035,0.36775538662301593,0.1666151546411597,0.0,0.19091244321837633,0.0,0.0,0.0,0.14491713359625943,up
1.14,0.21,0.05,0.0,0.14,0.0,1.81,0.37,0.25,0.0,0.82,0.0,1.24,0.0,0.0,0.0,0.44,0.6,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.07,0.0,0.52,0.0,0.59,0.0,0.0,0.0,0.0,0.7770731707317073,0.024146341463414638,0.0014634146341463417,0.0,0.033902439024390246,0.0,1.4865853658536585,0.028048780487804875,0.14073170731707318,0.0,0.6634146341463415,0.0,0.8960975609756098,0.0,0.0,0.0,0.17853658536585368,0.1189378808966896,0.055631628133468176,0.007924952873599973,0.0,0.043178585478248814,0.0,0.12197560731756085,0.07379767991594051,0.04568316122503121,0.0,0.0745187813942754,0.0,0.13122267427507503,0.0,0.0,0.0,0.13176799641054265,up
0.96,0.66,1.62,0.0,0.0,0.01,1.28,0.5,0.0,0.0,1.77,0.52,0.0,0.42,0.0,0.0,0.0,0.1,0.05,0.94,0.0,0.0,0.0,0.71,0.0,0.0,0.0,1.26,0.01,0.0,0.07,0.0,0.0,0.0,0.5939024390243903,0.3921951219512196,1.3082926829268293,0.0,0.0,0.00024390243902439024,0.9495121951219512,0.15317073170731707,0.0,0.0,1.5029268292682927,0.27463414634146344,0.0,0.23341463414634148,0.0,0.0,0.0,0.1847955363202868,0.14605670465819004,0.1685660469819529,0.0,0.0,0.0015617376188860608,0.11891070640426361,0.12121136548175347,0.0,0.0,0.11630227647039039,0.1147191692999825,0.0,0.08042418032213823,0.0,0.0,0.0,up
0.9,1.19,1.85,0.11,0.0,0.5,0.97,0.43,0.0,0.0,1.52,1.15,0.0,0.78,0.0,0.0,0.0,0.29,0.6,1.24,0.0,0.0,0.0,0.46,0.0,0.0,0.0,1.08,0.47,0.0,0.34,0.0,0.0,0.0,0.6307317073170732,0.8504878048780488,1.5778048780487803,0.002682926829268293,0.0,0.07975609756097561,0.6602439024390244,0.15731707317073168,0.0,0.0,1.2909756097560976,0.7929268292682928,0.0,0.5192682926829268,0.0,0.0,0.0,0.1258250818378919,0.1220850363376322,0.11869103157193368,0.017179113807746667,0.0,0.13554497048725284,0.11021542099175706,0.11781392935990002,0.0,0.0,0.12328432337586115,0.14062794712358964,0.0,0.11181212465342116,0.0,0.0,0.0,up
0.8,1.43,1.45,0.0,0.39,0.2,0.94,1.09,0.0,0.0,1.44,0.53,0.0,0.0,0.13,0.26,0.21,0.0,0.88,0.85,0.0,0.0,0.0,0.55,0.54,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3980487804878049,1.2058536585365853,1.185609756097561,0.0,0.1424390243902439,0.011951219512195124,0.734390243902439,0.8260975609756098,0.0,0.0,1.2653658536585366,0.21878048780487802,0.0,0.0,0.02634146341463415,0.015121951219512195,0.07317073170731707,0.194193453960157,0.1064418998739711,0.15847789720474909,0.0,0.12130087567294967,0.03900125076168212,0.0991727981980897,0.13494217370378483,0.0,0.0,0.08631620823969302,0.15096680300568102,0.0,0.0,0.039670902281204526,0.048276389219757944,0.0648628948008892,up
0.54,1.29,2.05,0.0,0.41,0.75,1.13,1.04,0.0,0.0,1.42,0.27,0.0,0.0,0.25,0.44,0.19,0.0,0.71,1.12,0.0,0.05,0.0,0.5,0.58,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.18390243902439024,0.9899999999999999,1.5019512195121953,0.0,0.2519512195121951,0.10463414634146344,0.8378048780487806,0.8329268292682926,0.0,0.0,1.1758536585365853,0.0675609756097561,0.0,0.0,0.04365853658536586,0.08609756097560976,0.04634146341463415,0.16093287496314243,0.1392479802366986,0.20895238108472372,0.0,0.0917937773543262,0.1655611301147647,0.14912263736807282,0.1132749730178521,0.0,0.0,0.10207780389869528,0.0882264271010925,0.0,0.0,0.07699857458294197,0.12251281665157504,0.050237242040192434,up
0.7,1.57,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.78,0.12,0.0,0.0,1.71,0.39,1.09,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5521875,1.3484375,0.0,1.0809375,0.0,0.0,0.0,0.0,0.0,0.0,0.008125,0.0,0.3390625,0.0171875,0.0,0.0,0.65375,0.08047176924338927,0.1251350077368053,0.0,0.1638913758088452,0.0,0.0,0.0,0.0,0.0,0.0,0.020389355224028367,0.0,0.2468296967415963,0.035852239323592175,0.0,0.0,0.3231573071451276,up
0.82,1.15,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.11,0.0,0.0,0.82,0.44,0.85,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.6590909090909091,0.9978787878787879,0.0,0.9460606060606062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11333333333333333,0.020606060606060607,0.0,0.0,0.6296969696969696,0.1094407270044965,0.08568684174647147,0.0,0.17555161979349895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08320406640703726,0.0308159246514073,0.0,0.0,0.08319723735215191,up
