,player_id,date,mode,AI_left,AI_right,P_left,P_right,AI_deaths,P_deaths,down_count,up_count,tried_down_count,tried_up_count
5,5e6a418620befe00096983d2,2021-07-13T21:29:22.742Z,2,14,30,16,0,3,3,3,7,11,139
1,5e6a418620befe00096983d2,2021-07-13T21:38:50.212Z,1,8,18,20,0,2,1,0,7,6,151
4,5ef33c05f4c5240413ef9ac2,2021-07-13T20:34:16.796Z,2,0,30,30,0,0,2,0,6,0,37
3,5ef33c05f4c5240413ef9ac2,2021-07-13T20:38:03.388Z,1,10,25,20,5,0,2,5,4,31,30
6,6081c511ded5945d9b70801e,2021-07-13T21:06:46.906Z,1,2,4,20,10,0,3,3,2,34,22
9,6081c511ded5945d9b70801e,2021-07-13T21:12:00.933Z,2,0,8,28,0,2,3,4,4,43,70
0,60e9e9618953d7a3430dd8f6,2021-07-13T18:51:55.244Z,1,12,26,18,3,3,3,1,4,7,33
2,60e9e9618953d7a3430dd8f6,2021-07-13T18:57:56.895Z,2,4,30,26,0,0,1,1,3,6,29
7,60edb7015a9231789057bdea,2021-07-13T21:07:10.935Z,1,11,20,17,0,0,2,1,3,6,15
8,60edb7015a9231789057bdea,2021-07-13T21:11:17.175Z,2,1,30,29,0,0,1,0,2,0,12
